1.79 0.59
0.48 1.33
1.64 0.55
0.49 2.04
2.56 1.17
2.11 2.58
2.56 0.76
1.89 2.49
2.48 2.51
1.02 0.45
2.58 0.72
2.56 0.73
1.56 0.5
0.83 2.59
0.52 2.37
2.36 2.58
0.48 0.59
0.96 2.53
0.48 2.27
2.4 0.96
2.1 2.44
1.98 0.46
0.47 0.51
1.04 0.48
0.55 1.63
1.82 2.59
0.49 1.88
2.44 0.75
0.57 0.96
2.33 2.46
1.44 2.44
1.35 0.48
2.29 2.59
2.5 0.43
2.58 2.35
2.58 0.42
0.46 1.65
0.57 2.5
1.5 2.53
2.58 0.67
0.75 2.57
0.57 1.9
1.51 0.57
2.5 0.41
0.47 0.75
1.04 0.52
1.67 0.54
0.46 1.82
1.65 0.57
1.81 2.47
2.52 1.76
0.44 2.58
2.18 2.52
2.42 2.39
0.58 1.66
2.48 1.19
0.44 1.04
0.45 1.17
0.45 1.52
1.28 2.48
0.47 2.33
2.44 1.91
2.04 0.5
2.43 2.48
1.43 0.53
2.52 0.61
1.03 2.53
2.02 0.43
2.15 0.47
0.59 2.22
0.46 2.35
0.71 0.43
0.47 2.34
0.56 2.39
0.54 2.22
1.54 0.44
1.12 0.41
0.54 1.43
2.58 1.81
2.44 2.07
0.53 0.61
0.52 2.4
1.94 2.54
2.03 0.48
2.22 0.47
0.45 1.72
0.45 2.33
0.59 2.52
0.56 2.4
2.46 0.48
2.41 1.61
2.23 2.57
2.45 2.46
2.58 1.37
2.51 0.87
1.29 2.46
2.45 0.93
1.36 2.59
2.5 0.68
0.85 2.43
0.51 0.66
0.94 0.55
1.05 0.41
1.55 0.46
2.37 2.4
2.45 2.53
1.74 0.41
2.52 2.54
0.52 1.8
2.46 1.37
0.54 0.92
2.34 2.59
1.46 0.43
1.04 0.51
2.51 1.94
1.25 0.4
2.57 1.27
2.57 2.54
2.58 1.3
0.56 2.29
0.48 0.53
2.58 2.47
1.84 0.54
0.54 2.41
0.54 2.39
2.53 1.68
1.99 0.5
0.62 2.48
2.55 1.68
1.76 0.48
1.22 0.4
2.49 2.55
2.54 1.78
0.6 0.58
1.83 0.59
1.23 0.57
2.43 2.12
0.48 0.4
1.7 2.43
2.19 2.57
0.57 1.97
0.57 1.34
2.29 2.49
1.13 0.44
2.24 2.46
0.41 2.57
1.42 0.43
2.42 1.15
0.52 2.36
2.42 1.34
1.35 2.56
2.49 0.95
0.4 0.96
2.13 2.49
2.55 1.17
1.81 2.44
0.57 0.64
0.84 0.5
0.67 2.59
0.83 2.42
0.53 2.59
2.58 0.64
0.41 1.01
0.42 1.4
1.15 0.44
1.08 2.51
0.47 1.76
2.59 0.62
0.47 0.79
0.44 1.88
0.49 0.58
2.52 0.58
1.36 0.47
0.56 1.05
2.41 1.16
2.08 0.5
0.47 2.4
0.78 2.47
0.72 2.48
2.41 0.45
0.49 2.33
0.96 0.5
0.93 2.44
2.53 0.73
2.12 2.52
2.42 1.87
1.16 2.51
0.49 1.14
2.59 0.76
1.65 2.44
2.5 1.02
2.31 2.47
2.55 1.22
2.41 2.2
1.94 2.56
0.4 1.42
2.01 0.5
1.38 0.58
0.93 0.52
2.56 1.25
2.59 2.36
2.56 0.85
0.51 2.07
2.0 0.42
1.38 2.41
2.56 1.09
2.24 2.54
0.49 2.37
2.53 1.86
1.4 0.51
0.59 1.49
2.49 1.23
0.81 2.41
0.42 1.75
0.4 1.16
1.05 0.45
0.48 2.51
2.58 0.48
0.59 1.97
